일자,요일,지점명,지점번호,방향,구분,0시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
20230128,토,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,591,415,317,251,244,376,670,834,1165,1645,1776,1922,1895,1924,1777,1718,1760,1741,1371,1024,979,948,852,650
20230129,일,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,465,346,260,231,180,263,476,707,958,1308,1585,1555,1567,1564,1568,1569,1349,1282,1033,930,867,812,658,506
20230130,월,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,364,227,179,136,235,609,1568,2448,2470,2052,1864,1944,1663,1647,1594,1787,1849,1839,1661,1253,1051,1009,959,710
20230131,화,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,493,365,252,205,243,611,1419,2255,2398,2010,1941,2020,1697,1712,1700,1812,1822,1976,1717,1257,1111,1083,923,783
20230101,일,성산로(금화터널),A-01,유출,독립문역->봉원고가차도,1124,684,353,267,228,282,362,367,665,762,981,1109,1247,1433,1660,1514,1579,1397,1083,1037,908,841,598,461
20230102,월,성산로(금화터널),A-01,유출,독립문역->봉원고가차도,370,187,174,141,188,377,781,1301,1615,1460,1351,1252,1316,1465,1471,1453,1641,1857,1857,1726,1458,1251,971,821
20230103,화,성산로(금화터널),A-01,유출,독립문역->봉원고가차도,622,426,271,205,223,391,760,1328,1630,1546,1544,1367,1294,1459,1551,1579,1458,1817,2075,1866,1521,1355,1079,926
20230104,수,성산로(금화터널),A-01,유출,독립문역->봉원고가차도,723,440,326,220,236,423,784,1258,1602,1543,1431,1340,1318,1553,1573,1610,1601,1889,2117,1957,1524,1398,1169,950
20230105,목,성산로(금화터널),A-01,유출,독립문역->봉원고가차도,672,487,315,249,262,434,740,1249,1561,1591,1505,1452,1315,1580,1591,1605,1482,1816,2043,1963,1540,1408,1276,1007
20230106,금,성산로(금화터널),A-01,유출,독립문역->봉원고가차도,713,506,394,235,281,398,763,1211,1571,1551,1448,1388,1329,1562,1608,1716,1594,1988,1870,1861,1590,1383,1083,827
20230107,토,성산로(금화터널),A-01,유출,독립문역->봉원고가차도,646,411,350,302,268,347,491,667,1067,1229,1261,1372,1408,1475,1593,1627,1650,1594,1600,1308,1230,1110,913,818
