일자,요일,도로명,링크아이디,시점명,종점명,방향,거리,차선수,기능유형구분,도심/외곽구분,권역구분,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
20230101,일,가산디지털1로,1170004100,한국산업기술협회,금천고가차도,상행,392,2,기타도로,외곽,금천구,22.35,29.580000000000002,24.580000000000002,37.71,28.79,21.06,24.75,33.88,22.080000000000002,27.17,24.17,21.92,24.740000000000002,21.75,22.17,28.92,21.25,21.05,24.42,19.57,24.5,23.580000000000002,25.5,22.580000000000002
20230101,일,가산디지털1로,1170004200,금천고가차도,한국산업기술협회,하행,392,2,기타도로,외곽,금천구,32.39,30.77,37.19,34.550000000000004,29.85,24.59,25.830000000000002,17.240000000000002,22,18.46,25.75,28.89,27.91,25.67,18.580000000000002,23.25,25.91,23.75,19.67,21.42,27.5,24.92,19.080000000000002,22.54
20230101,일,가산디지털1로,1170005800,한국산업기술협회,구로한국후지필름,하행,414,2,기타도로,외곽,금천구,33.13,24.77,36.63,34.980000000000004,35.99,39.4,28.19,33.79,31.5,30.580000000000002,34.92,32.46,27.72,25.580000000000002,34.67,30.830000000000002,30.2,27.330000000000002,35,21.17,40.800000000000004,30.080000000000002,28.72,33.77
20230101,일,가산디지털1로,1170007000,구로한국후지필름,3공단파출소,하행,422,2,기타도로,외곽,금천구,22.72,22.71,17.6,40.45,29.95,19.900000000000002,32.02,23.42,25.71,24.35,23,32.8,31.29,24.04,25,25.23,19.5,22.25,23.67,21.580000000000002,23.41,18.67,22.29,25.68
20230101,일,가산디지털1로,1170009200,3공단파출소,가산디지털단지역(7호선),하행,418,2,기타도로,외곽,금천구,26.73,29.27,25.62,37.21,26.080000000000002,29.73,44.17,20.88,21.79,24.330000000000002,29.67,18.42,22.330000000000002,25.080000000000002,23,21.830000000000002,25.25,21.75,19.17,22.580000000000002,23.25,26.580000000000002,23.25,24.94
20230101,일,가산디지털1로,1170010400,가산디지털단지역(7호선),한국건설생활환경시험연구원,하행,417,2,기타도로,외곽,금천구,23.42,26.04,25.75,28.79,28.76,31.54,18.330000000000002,17.42,18.96,21.96,23.5,27.03,27.79,22.830000000000002,17.830000000000002,22.580000000000002,26,21.5,23.21,24.740000000000002,27,21.17,26.25,27.36
20230101,일,가산디지털1로,1170011000,한국건설생활환경시험연구원,구로현대로얄아파트,하행,357,2,기타도로,외곽,금천구,24.54,26.97,26.2,27.69,28.91,28.080000000000002,19.17,17.580000000000002,21.75,24.38,22.25,27.17,28.330000000000002,23.67,18.830000000000002,23.830000000000002,27.17,22.42,24.17,24.92,27.830000000000002,21.5,27.580000000000002,27.67
20230101,일,가산디지털2로,1170005400,대륭테크노타운,마이크로오피스앞,상행,420,2,기타도로,외곽,금천구,31.12,34.74,30.32,33.47,29.36,32.52,27.35,31.17,33.7,28.560000000000002,34.75,35.62,34.61,33.9,31.67,27.59,25.330000000000002,32.77,31.17,34.300000000000004,31.84,30.09,31.44,29.25
20230101,일,가산디지털2로,1170006800,마이크로오피스앞,디지털3단지,상행,421,2,기타도로,외곽,금천구,27.34,32.72,23.06,32.730000000000004,32.71,37.31,11.89,20.5,24.560000000000002,19.3,19.330000000000002,27.55,22.92,24.93,26.17,24.92,24.68,22.580000000000002,19.42,24.27,24.25,24.97,21.94,28.41
20230101,일,가산디지털2로,1170008800,디지털3단지,디지털3단지월드벤쳐센터,상행,419,2,기타도로,외곽,금천구,30.27,26.96,32.86,29.79,28.46,27.95,35.63,28.61,28.97,28.94,27.96,27.900000000000002,23.77,23.67,21.25,26.45,22.07,23.13,25.080000000000002,23.68,23.25,18.55,27.23,26.330000000000002
20230101,일,가산디지털2로,1170010200,디지털3단지월드벤쳐센터,구로디지털3단지운동장,상행,418,2,기타도로,외곽,금천구,16.17,26.62,21.59,22.69,19.03,28.810000000000002,18.89,17.96,19.73,20.17,17.82,18.87,15.88,22.73,19.67,20.06,16.23,18.67,17,21.34,22.5,19.77,22.990000000000002,22.53
20230101,일,가산디지털2로,1170010800,구로디지털3단지운동장,한일유앤아이앞,상행,322,2,기타도로,외곽,금천구,16.17,24.27,20.42,22.8,19.26,35.84,19.97,17.75,18.12,20.13,20.2,16.5,15.88,22.77,19.22,20.75,16.67,18.67,17,22.13,22.5,22.05,21.97,22.53
