fold,mse_plain,mse_od,mse_selective,n_sensors_chose_od,n_sensors
0,11.43763685449487,12.47677425008721,11.452004019908975,96,396
1,9.944621066460646,10.407180980176658,9.933662726689045,154,396
2,9.348793660954867,10.042026965706167,9.150394103046002,213,396
3,10.370508722122516,11.053686815902518,10.390926332257266,165,396
4,9.31717310020116,9.499926103071338,9.118881772775007,191,396
5,9.666546800316365,9.98008364732424,9.569854328968802,154,396
6,10.726763430742944,11.38161020010307,10.743146115177073,170,396
7,10.980027135518787,10.986376433708086,10.629440803216498,157,396
8,10.33289343540372,10.571560703388885,10.141031577538241,232,396
9,11.089552303253322,11.64175563986693,10.92738716422534,208,396
10,10.680094699153722,10.799634607834472,10.421893108587273,122,396
11,10.745690797821933,10.71466242304536,10.432080202344942,129,396
12,9.644074799899483,9.937218746582163,9.430356937004664,211,396
13,9.200643772257644,9.433597219610782,9.084202462554364,182,396
14,10.057637837419282,10.676185047969204,9.968191400954348,113,396
15,9.851814998040265,10.504960538879338,9.70330936678076,85,396
16,9.589408706434615,10.065219708399747,9.410847249612685,137,396
17,10.8533704297283,11.496691932044216,10.807123503703423,206,396
18,9.712334567684838,10.635257395388248,9.641666565159204,98,396
19,11.407179558018077,11.939110382020024,11.32323595887788,235,396
20,10.809593153209532,11.143678076511431,10.620576913193762,116,396
21,9.614506972451634,9.920690944573028,9.383870569605408,137,396
22,10.961381129469896,11.484787508821983,10.930924557445762,161,396
23,9.851842231757368,10.415259838158956,9.71410580692135,158,396
24,9.823767304005239,10.9717902261866,9.98175786893661,124,396
25,8.827484511894507,8.959883056030268,8.708793763895125,137,396
26,9.555135178874574,9.783017489737759,9.247668920420061,150,396
27,9.735100101527951,10.439496341897243,9.68437690738579,182,396
28,9.239452364593296,9.715267746674714,9.128465443269517,170,396
29,10.016952433022333,10.604788186499835,9.998299867848313,211,396
