fold,mse_plain,mse_selective,mse_avg_inj,mse_avg_seed
0,11.43763685449487,11.452004019908975,11.301910203592664,10.895519854909853
1,9.944621066460646,9.933662726689043,9.646360847637766,9.578401414536433
2,9.348793660954867,9.150394103046,9.154034107038694,9.027995982968319
3,10.370508722122516,10.390926332257266,10.23988244085191,10.054191256369547
4,9.31717310020116,9.118881772775008,8.955152080193852,8.88946485948337
5,9.666546800316365,9.569854328968802,9.352114360269567,9.321368190563101
6,10.726763430742944,10.743146115177073,10.51202127485847,10.50159824638969
7,10.980027135518787,10.629440803216497,10.479579725148199,10.462430810712204
8,10.33289343540372,10.14103157753824,9.89350698432382,9.846459377683393
9,11.089552303253322,10.92738716422534,10.798274837355947,10.531177720155124
10,10.680094699153722,10.421893108587271,10.211819284237889,10.240578882268112
11,10.745690797821933,10.432080202344942,10.201088550886276,10.514768947310289
12,9.644074799899483,9.430356937004664,9.341226932966409,9.1441824240571
13,9.200643772257644,9.084202462554364,8.810559781669971,8.733593257123442
14,10.057637837419282,9.968191400954348,9.885243443847958,9.526797979197838
15,9.851814998040265,9.70330936678076,9.585796830895262,9.298472768588045
16,9.589408706434615,9.410847249612683,9.31607397458923,9.230163035118942
17,10.8533704297283,10.807123503703425,10.651652671821008,10.466545246308236
18,9.712334567684838,9.641666565159204,9.616683185755935,9.386759549331362
19,11.407179558018077,11.323235958877882,11.109575911242036,10.729737135293146
20,10.809593153209532,10.620576913193762,10.277620547804664,10.152740626838787
21,9.614506972451634,9.383870569605408,9.215165841191226,9.222121101061175
22,10.961381129469896,10.930924557445762,10.644209978476924,10.668106066209571
23,9.851842231757368,9.71410580692135,9.644084051090339,9.562785595473065
24,9.823767304005239,9.981757868936608,9.814811649843033,9.759473622745821
25,8.827484511894507,8.708793763895125,8.388997537317147,8.400236167542747
26,9.555135178874574,9.24766892042006,9.092993592887971,8.864112031372175
27,9.735100101527951,9.68437690738579,9.632436905472312,9.358734387073536
28,9.239452364593296,9.128465443269516,8.980174989321632,8.907126936394528
29,10.016952433022333,9.998299867848312,9.78326841286074,9.611798432089103
