fold,mse_plain,mse_selective,mse_avg_inj,mse_avg_seed
0,11.931421536819611,11.621247584322562,10.86164415405898,10.685605905544898
1,10.364368406937992,10.363045024270138,10.145997894329696,9.812509995354759
2,9.45425962734469,9.334570698946452,9.274768366485244,9.10433139886411
3,10.376180980055027,10.354455408718154,10.188206833651506,10.053787069249212
4,9.382996991668692,9.213153902183926,8.980929639979955,8.836732104778443
5,9.686299036876898,9.523820011678952,9.342025598796928,9.341418168530163
6,10.9739946292722,10.930040252681016,10.723817811939899,10.529950466674046
7,10.94024825703704,10.929015254611986,10.770019854431299,10.418898630102932
8,10.10012632446874,10.061624153106262,9.909192568373438,9.765798159984428
9,10.849979781741762,10.851262039749116,10.630602248458839,10.393504341727825
10,10.57050891930253,10.493244461059014,10.208374463553696,10.001306332042759
11,10.455429548291388,10.347005106699196,10.220519645170976,10.167041391989425
12,9.67619918827923,9.501335666830837,9.153174204790153,9.009459605939188
13,9.254190442522363,9.11437122814288,8.872917906015061,8.82262072429929
14,10.19374424008196,9.874243854832384,9.606082888231953,9.571603325787816
15,10.269636202533448,9.812806213295367,9.464132533250488,9.590512837456092
16,10.102002096863457,9.77681759649997,9.498576420585293,9.663089556743921
17,11.21815194480957,11.1592481386817,10.986275060989257,10.755535110216659
18,11.154530459246455,10.142912264749055,9.958938041802606,9.954286040244952
19,11.11408086431082,10.976232688865476,10.867236722260756,10.639876442482606
20,10.763268311675324,10.608033522311176,10.117102679116414,10.098901111543
21,9.912435552033237,9.571820347481346,9.325921159321172,9.231468291617396
22,11.823211916214207,11.343898223743444,10.892361199150345,10.660448921869856
23,10.019144983561544,9.977365519763673,9.650775862117957,9.382586866300262
24,10.277554476574116,10.094880397764983,9.942441299601592,9.729592992199862
25,9.028307502130035,8.940468896204944,8.59976461530476,8.423536920020098
26,10.062290483540934,9.61894826624986,9.29300130680192,8.964656208976782
27,9.964625882300947,9.700588099059978,9.56393674474463,9.564967664944081
28,9.479963090781384,9.386430949808217,9.273817128557367,8.985846471936487
29,10.13625500991247,10.044509826799626,9.810486532474082,9.861970383197168
