model,task,n_folds,selective_mean_pct,selective_wins,selective_p,uniform_od_mean_pct,uniform_od_wins,uniform_od_p,mean_sensors_chose_od,n_sensors_total
pdformer,volume,30,-6.725852678211075,29,5.266807934898328e-07,-2.697311152113298,23,0.27427490743779537,78.5,121
pdformer,speed,30,-1.6530886336646178,29,1.179427518151751e-08,3.2534926073812054,2,1.1120225666224982e-08,206.4,396
mtgnn,volume,30,-1.3720485053274014,22,0.0738089631381736,11.070373868940525,3,5.455755031123342e-05,61.7,121
mtgnn,speed,30,-1.71447283922652,30,2.1580342138445133e-12,4.23984607621276,0,6.987065106462014e-14,225.73333333333332,396
agcrn,volume,30,-1.8579221246556596,22,0.006286763887233489,11.92268548277406,3,4.70329193918914e-06,46.5,121
agcrn,speed,30,-1.4496252222224664,27,8.110838756478135e-10,0.9098018951822959,11,0.027022399763192748,211.26666666666668,396
