model,task,hidden,seed,n_folds,plain_params,plain_mean_mse,injection_mean_pct,injection_wins,injection_p
stid_fixed,volume,64,0,30,31028,132417.69375,-9.023582733151471,30,1.6641376867484822e-10
stid_fixed,volume,64,1,30,31028,132102.27369791668,-6.75896998590017,25,1.4119105665888367e-06
stid_fixed,volume,128,0,30,111196,124189.52395833333,-2.30233944555791,16,0.3471529701283138
stid_fixed,volume,256,0,30,418988,122712.26119791667,3.366397380751653,10,0.01382490767134691
