model,task,n_folds,seedctl_selective_mean_pct,seedctl_selective_wins,seedctl_selective_p,selective_vs_globalpick_mean_pct,selective_vs_globalpick_wins,selective_vs_globalpick_p,seed_swing_abs_mean_pct,mean_sensors_chose_seed1,n_sensors_total
pdformer,volume,30,-5.367308,30,3.264623e-10,-3.041062,26,7.534728e-05,5.264413,62.966667,121
pdformer,speed,30,-1.444502,29,2.200707e-07,-0.778655,27,2.044957e-07,1.46779,203.366667,396
mtgnn,volume,30,-2.922617,23,0.001745398,-2.922897,22,0.004915973,6.634279,57.366667,121
mtgnn,speed,30,-1.602228,28,2.87706e-06,-0.879211,27,7.402115e-08,2.088385,189.233333,396
agcrn,volume,30,-5.322642,29,3.55344e-05,-2.853042,27,0.0001050607,4.312816,65.3,121
agcrn,speed,30,-1.6358868451736426,30,1.810499304917249e-11,-1.1768725689648425,30,2.0215630284115796e-11,1.33493985170607,201.3,396
stid_fixed,volume,30,-3.0153242027330696,28,2.3370134457930552e-08,-1.4735108841568894,25,0.00021204491960865815,3.1333853243150007,60.0,121
stid_fixed,speed,30,-1.121915816368667,29,2.1702945420932467e-07,-0.6725439301426808,28,4.1368349082654797e-10,1.0087718493079865,202.4,396
