model,task,n_folds,raw_selective_pct,free_lunch_pct,free_lunch_p,net_pct,seed_swing_abs_mean_pct
ours,volume,30,-9.411586566383177,-3.5887298283068265,9.137682304323901e-12,-5.82285673807635,4.058419629271543
ours,speed,30,-9.22581253825097,-1.4196410510358954,1.4867040639291297e-14,-7.8061714872150745,5.3516524280493165
