signal,n,wins,mean_pct,p,recovery_pct
hybrid,30,30,-8.172222582414797,2.1446493087771274e-18,100.0
climatology,30,30,-7.835735205968192,5.12046108144218e-19,95.8825475804995
residual,30,30,-5.809732815200538,6.178365677586072e-18,71.09122098194037
