model,task,n_folds,selective_mean_pct,selective_wins,selective_p,uniform_od_mean_pct,uniform_od_wins,uniform_od_p,mean_sensors_chose_od,n_sensors_total
dcrnn,volume,30,-4.0604791750348435,24,0.0013386731815991494,0.9476496068707881,14,0.2535633503844989,84.33333333333333,121
dcrnn,speed,30,-1.5073970312851084,26,6.226214104329782e-07,1.763579437667516,11,0.011066772384494203,218.26666666666668,396
gwnet,volume,30,-0.4580738223910608,16,0.3561159945120419,25.45430846254697,1,4.040497119995101e-09,42.6,121
gwnet,speed,30,-1.8739112344305435,29,1.609262508789109e-05,3.7697674407895803,5,1.1896734573077137e-05,185.6,396
gman,volume,30,-14.14016590683538,27,5.280349871745279e-10,-7.532866552996327,22,0.001964191317844275,94.76666666666667,121
gman,speed,30,-5.544045974161943,30,9.624020820755035e-19,0.19212121454423187,14,0.7887314841196242,290.93333333333334,396
staeformer,volume,30,-4.485943104604723,23,0.000941381760189801,0.7440822585116496,14,0.4840749186673774,71.46666666666667,121
staeformer,speed,30,-1.2349942060243684,26,1.7062702586533931e-06,4.707569841190802,1,4.5572015317116387e-10,160.13333333333333,396
