model,task,real_selective_pct,random_mean_pct,random_std_pct,empirical_p
pdformer,volume,-6.725852678211073,-2.152784722135852,0.41710523174308234,0.0
pdformer,speed,-1.6530886336646133,1.5845909128624678,0.10681207359827448,0.0
mtgnn,volume,-1.3720485053274036,4.973204567578404,0.5568554238004736,0.0
mtgnn,speed,-1.714472839226519,2.3312312956931747,0.12668813157755107,0.0
agcrn,volume,-1.8579221246556594,4.105817230795777,0.6603686518429315,0.0
agcrn,speed,-1.449625222222468,0.3710591698425948,0.08052385129367408,0.0
