model,task,n_folds,selective_mean_pct,selective_wins,selective_p,uniform_od_mean_pct,uniform_od_wins,uniform_od_p,mean_sensors_chose_od,n_sensors_total
gts,volume,30,-5.103384950143348,27,1.1426058233144346e-06,-0.19304119416511903,16,0.8766881104979665,74.33333333333333,121
gts,speed,30,-1.4388377628608067,28,6.57728946732121e-10,3.855980921349626,3,4.771152090283575e-09,194.73333333333332,396
