model,task,n_folds,selective_mean_pct,selective_wins,selective_p,uniform_od_mean_pct,uniform_od_wins,uniform_od_p,mean_sensors_chose_od,n_sensors_total
ours,volume,30,-9.411586566383175,30,1.1786909358729323e-12,-7.1727547928858195,29,7.977446033560762e-08,76.73333333333333,121
ours,speed,30,-9.22581253825097,30,4.2325846661434325e-21,-8.172232847567678,30,2.1444303859004984e-18,279.93333333333334,396
